apr,bug,tot_cluster,tot_patch,t_naive,t_uniapr,t_expapr
PlausibleSimFix,Math-70,61,2221,28494.048092365265,1572.3124594430863,281.73343930410243
PlausibleSimFix,Math-71,29,6015,100580.36021518707,7613.174542675936,1146.8157814279307
PlausibleSimFix,Math-75,53,673,5052.738839149475,706.3168429441389,242.2940680415801
PlausibleSimFix,Math-79,53,4258,27531.55401611328,3339.081261030594,347.38892370379097
PlausibleSimFix,Math-98,11,4433,28755.356912851334,3745.412031318665,289.4358477849515
PlausibleSimFix,Time-7,59,2124,29854.621550559998,2315.57954160228,435.35964648534855
PlausibleHanabi,Chart-1,39,3779,32389.250489473343,4240.346753728867,286.410680770874
PlausibleHanabi,Chart-14,45,941,15443.586686372757,941.3204248962403,261.5593771934509
PlausibleHanabi,Chart-19,48,4863,68098.73335027695,5694.180867514309,1138.7905685901642
PlausibleHanabi,Lang-24,78,9444,71618.57689356804,8047.462678165806,514.4324607849121
PlausibleHanabi,Lang-35,8,664,4730.335326194763,742.4969072303771,68.79434084892273
PlausibleHanabi,Lang-7,69,5612,127517.31624388695,5295.056037247775,540.9190447330475
PlausibleHanabi,Math-15,60,7493,408184.8500146866,8478.379315430459,1062.5538839049748
PlausibleHanabi,Math-22,35,3067,313817.3595612049,3305.013640621722,279.5042173862457
PlausibleHanabi,Math-26,11,1191,91550.24359965324,14073.391619918755,144.02424716949463
PlausibleHanabi,Math-3,15,4548,366685.9309372902,None,39581.894788839614
PlausibleHanabi,Math-32,154,16556,86631.17753911018,12930.031795829775,573.1287298202515
PlausibleHanabi,Math-33,32,1763,119245.99488902092,2306.0751367321022,247.47619223594666
PlausibleHanabi,Math-35,7,900,33010.670919418335,620.0355039043427,55.149060044358784
PlausibleHanabi,Math-4,85,349,20212.654321193695,928.8803024156425,220.63352155685425
PlausibleHanabi,Math-48,63,9671,387493.44828009605,20684.18034774828,1859.289211612435
PlausibleHanabi,Math-5,9,1733,83981.11978936195,2684.138093356967,1641.8723464774587
PlausibleHanabi,Math-50,65,9881,867304.1729371548,38082.43925327175,1768.1475553983096
PlausibleHanabi,Math-53,4,579,39699.24223256111,6740.762589597703,97.78631901741028
PlausibleHanabi,Math-61,11,1696,71359.77472901344,1814.196685836792,151.38208370755837
PlausibleHanabi,Math-63,7,495,15353.123509645462,550.9140968818665,85.57695484161377
PlausibleHanabi,Math-73,58,8656,214438.55756378174,9455.928543454334,802.7106154055821
PlausibleHanabi,Math-85,22,1616,52244.27762699127,1626.26256629299,211.61658763885498
PlausibleHanabi,Math-93,8,1193,6713.99370265007,911.7257367858887,45.88169288635254
PlausibleHanabi,Math-94,2,454,26887.219142198563,None,45.95303463935852
PlausibleHanabi,Time-15,2,361,10629.642384529114,377.95234751129146,30.23879837989807
PlausibleHanabi,Time-19,1,58,1496.2219381332397,None,1292.598550081253
SampleRecoder,Chart-17,53,957,11044.110169172287,1894.4136911324558,326.5739565161215
SampleRecoder,Chart-23,68,1034,12059.870015859604,1156.2209637722483,369.5892635035526
SampleRecoder,Chart-6,69,937,11707.397839784622,1057.3240853181255,318.4403154850006
SampleRecoder,Closure-12,79,1202,74790.50801086426,None,1820.717139464839
