filename,category,n_patch,n_stof,n_ftos
PlausibleRecoder/patches-out/Lang/6/modify-CharSequenceTranslator.java-95-29d19e532a4a05a8.json,succ,39,0,0
PlausibleRecoder/patches-out/Lang/38/prepend-FastDateFormat.java-182-543fba37af5538b2.json,succ,11,0,0
PlausibleRecoder/patches-out/Closure/86/prepend-PureFunctionIdentifier.java-555-64bf9c374e8ebee0.json,succ,42,0,0
PlausibleRecoder/patches-out/Closure/104/prepend-NamedType.java-108--76a7eae21c828bbf.json,succ,36,0,0
PlausibleRecoder/patches-out/Closure/92/prepend-Node.java-1030-69ac42bc60d7b2b6.json,succ,64,0,0
PlausibleRecoder/patches-out/Closure/104/modify-NamedType.java-110--76a7eae21c828bbf.json,succ,14,0,0
PlausibleRecoder/patches-out/Math/30/prepend-MannWhitneyUTest.java-177--4a85a982de8e9902.json,succ,1,0,0
PlausibleRecoder/patches-out/Math/33/modify-SimplexTableau.java-366--18added749cf7516.json,succ,53,0,0
PlausibleRecoder/patches-out/Lang/59/modify-StrBuilder.java-883--1eab702a75f3433f.json,succ,28,0,0
PlausibleRecoder/patches-out/Closure/7/modify-UnionType.java-299-4f5f3fcba54fa2d4.json,succ,29,0,0
PlausibleRecoder/patches-out/Math/98/prepend-BigMatrixImpl.java-160--7d152505d03de482.json,succ,11,0,0
PlausibleRecoder/patches-out/Lang/57/modify-LocaleUtils.java-223--7d21fff311234c3d.json,succ,31,0,0
PlausibleRecoder/patches-out/Time/4/modify-Partial.java-464--40fc563d31b26214.json,succ,40,0,0
PlausibleRecoder/patches-out/Math/41/modify-Variance.java-521-60ff2ff5bc9d32dc.json,succ,34,0,0
PlausibleRecoder/patches-out/Time/4/prepend-Partial.java-427--40fc563d31b26214.json,succ,9,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-RecordType.java-265-1702578192587cf7.json,succ,20,0,0
PlausibleRecoder/patches-out/Chart/26/prepend-CategoryAxis.java-750-279571640e89635.json,succ,63,0,0
PlausibleRecoder/patches-out/Lang/38/modify-FastDateFormat.java-639-543fba37af5538b2.json,succ,54,0,0
PlausibleRecoder/patches-out/Chart/26/prepend-CategoryAxis.java-980-279571640e89635.json,succ,25,0,0
PlausibleRecoder/patches-out/Closure/109/modify-ObjectType.java-490--5399e923e0e7055d.json,succ,27,0,0
PlausibleRecoder/patches-out/Chart/11/modify-ShapeUtilities.java-275--276f062239d84275.json,succ,37,0,0
PlausibleRecoder/patches-out/Closure/104/modify-UnionType.java-290-4f5f3fcba54fa2d4.json,succ,13,0,0
PlausibleRecoder/patches-out/Closure/115/modify-InlineFunctions.java-541-2416d6303f53574.json,succ,9,0,0
PlausibleRecoder/patches-out/Math/94/prepend-MathUtils.java-427--bc8480602f240e1.json,succ,25,0,0
PlausibleRecoder/patches-out/Closure/86/prepend-PureFunctionIdentifier.java-269-64bf9c374e8ebee0.json,succ,132,0,0
PlausibleRecoder/patches-out/Math/41/prepend-Variance.java-323-60ff2ff5bc9d32dc.json,succ,16,0,0
PlausibleRecoder/patches-out/Lang/59/modify-StrBuilder.java-111--1eab702a75f3433f.json,succ,15,0,0
PlausibleRecoder/patches-out/Closure/57/prepend-Compiler.java-251-3a19facbe3f55dae.json,succ,5,0,0
PlausibleRecoder/patches-out/Math/50/prepend-BaseSecantSolver.java-124-4d26367fd6ba2c09.json,succ,1,0,0
PlausibleRecoder/patches-out/Math/65/modify-AbstractLeastSquaresOptimizer.java-319-7ce34e040a950dc8.json,succ,24,0,0
PlausibleRecoder/patches-out/Closure/2/prepend-ObjectType.java-576--5399e923e0e7055d.json,succ,20,0,0
PlausibleRecoder/patches-out/Closure/73/prepend-CodeGenerator.java-1187-626e6933dc6d6221.json,succ,3,0,0
PlausibleRecoder/patches-out/Math/50/prepend-BaseSecantSolver.java-150-4d26367fd6ba2c09.json,succ,3,0,0
PlausibleRecoder/patches-out/Closure/46/prepend-PrototypeObjectType.java-260-14aec30f9ac2ab88.json,succ,4,0,0
PlausibleRecoder/patches-out/Time/4/modify-Partial.java-449--40fc563d31b26214.json,succ,30,0,0
PlausibleRecoder/patches-out/Math/34/modify-JDKRandomGenerator.java-45--25edd2ff60a8b12.json,succ,28,0,0
PlausibleRecoder/patches-out/Mockito/29/modify-InvocationMatcher.java-75--affbf4943816d1c.json,succ,17,0,0
PlausibleRecoder/patches-out/Closure/62/modify-LightweightMessageFormatter.java-90-22df1ccad3f80bbb.json,succ,28,0,0
PlausibleRecoder/patches-out/Math/98/prepend-BigMatrixImpl.java-142--7d152505d03de482.json,succ,11,0,0
PlausibleRecoder/patches-out/Mockito/29/prepend-MissingInvocationChecker.java-37-556fe6136a676aaf.json,succ,1,0,0
PlausibleRecoder/patches-out/Closure/7/modify-NumberType.java-112-63793c2afff52632.json,succ,14,0,0
PlausibleRecoder/patches-out/Math/33/prepend-SimplexTableau.java-224--18added749cf7516.json,succ,4,0,0
PlausibleRecoder/patches-out/Chart/9/modify-TimeSeries.java-927--1d1172639f3a7ef9.json,succ,26,0,0
PlausibleRecoder/patches-out/Chart/24/prepend-GrayPaintScale.java-148--136f5cc48da64347.json,succ,9,0,0
PlausibleRecoder/patches-out/Math/57/prepend-MathUtils.java-1873--30d9710bd3582fc5.json,succ,20,0,0
PlausibleRecoder/patches-out/Closure/21/prepend-CheckSideEffects.java-157--74e2ffc9cad8cedf.json,succ,12,0,0
PlausibleRecoder/patches-out/Math/96/prepend-Complex.java-104-7f54cee1c9097990.json,succ,14,0,0
PlausibleRecoder/patches-out/Math/41/modify-Variance.java-320-60ff2ff5bc9d32dc.json,succ,29,0,0
PlausibleRecoder/patches-out/Chart/11/modify-ShapeUtilities.java-283--276f062239d84275.json,succ,34,0,0
PlausibleRecoder/patches-out/Math/94/modify-MathUtils.java-95--bc8480602f240e1.json,succ,40,0,0
PlausibleRecoder/patches-out/Mockito/29/modify-InvocationsFinder.java-70--5ed93ae6059bfc7a.json,succ,71,0,0
PlausibleRecoder/patches-out/Chart/26/prepend-CategoryAxis.java-984-279571640e89635.json,succ,11,0,0
PlausibleRecoder/patches-out/Closure/86/modify-PureFunctionIdentifier.java-555-64bf9c374e8ebee0.json,succ,78,0,0
